old_name,new_name,year,authors,title,source,status
16WWW-gc.pdf,16www-divide.pdf,2016,"Jie Wang, Wenye Wang, and Cliff Wang",Divide and Conquer: Leveraging Topology in Control of Epidemic Information Dynamics,data/publications.php,renamed
16WWW-ICC.pdf,16www-anti.pdf,2016,"Jie Wang, Wenye Wang, and Cliff Wang",How the Anti-Rumor Kills the Rumor: Conflicting Information Propagation in Networks,data/publications.php,renamed
17HWW-GB.pdf,17hww-detection.pdf,2017,"Seyyedali Hosseinalipour, Jie Wang, Wenye Wang, and Huaiyu Dai",Detection of Infections using Graph Signal Processing in Heterogeneous Networks,data/publications.php,renamed
17PWW-GB.pdf,17pww-isolation.pdf,2017,"Sigit Pambudi, Wenye Wang, and Cliff Wang",From Isolation Time to Node Resilience: Impact of Cascades in D2D-based Social Networks,data/publications.php,renamed
17WLW-SJ.pdf,17wlw-characterizing.pdf,2017,"Mingkui Wei, Zhuo Lu, and Wenye Wang",On Characterizing Information Dissemination During City-Wide Cascading Failures in Smart Grid,data/publications.php,renamed
17WWL-icc-VANET.pdf,17wlw-modeling.pdf,2017,"Mingkui Wei, Zhuo Lu, and Wenye Wang",On Modeling and Understanding Vehicle Evacuation Attacks in VANETs,data/publications.php,renamed
18pww-ICCCN.pdf,18pww-aftermath.pdf,2018,"Sigit Pambudi, Jie Wang, Wenye Wang, Min Song, and Xiaoyan Zhu",The Aftermath of Broken Links: Resilience of IoT Systems from A Networking Perspective,data/publications.php,renamed
18pww-IF.pdf,18pww-fast.pdf,2018,"Sigit Pambudi, Wenye Wang, and Cliff Wang",Fast Rendezvous for Spectrum-Agile IoT Devices with Limited Channel Hopping Capability,data/publications.php,renamed
18ZW-ICC.pdf,18zw-flow.pdf,2018,Rui Zou and Wenye Wang,A Flow Rule Timeout Assignment Algorithm for SDN-Assisted Network MIMO Systems,data/publications.php,renamed
19FW-GB.pdf,19fw-lte.pdf,2019,Teng Fei and Wenye Wang,LTE is Vulnerable: Implementing Identity Spoofing and Denial-of-Service Attacks in LTE Networks,data/publications.php,renamed
19WPW-IoT.pdf,19wpw-resilience.pdf,2019,"Jie Wang, Sigit Pambudi, Wenye Wang, and Min Song",Resilience of IoT Systems Against Edge-induced Cascade-of-Failures: A Networking Perspective,data/publications.php,renamed
19WWLW-ICC.pdf,19wwl-studying.pdf,2019,"Mingkui Wei, Jie Wang, Zhuo Lu, and Wenye Wang",On Studying Information Dissemination in Social-Physical Interdependent Networks,data/publications.php,renamed
19WWW-IF.pdf,19www-sas.pdf,2019,"Jie Wang, Wenye Wang, and Cliff Wang",SAS: Modeling and Analysis of Spectrum Activity Surveillance in Wireless Overlay Networks,data/publications.php,renamed
19ZW-GB.pdf,19zw-change.pdf,2019,Rui Zou and Wenye Wang,Change Detection Based Segmentation and Modeling of LTE Spectrum Tenancy,data/publications.php,renamed
20JW-TMC.pdf,20www-spectrum.pdf,2020,"Jie Wang, Wenye Wang, Cliff Wang, Min Song",Spectrum Activity Surveillance: Modeling and Analysis from Perspectives of Surveillance Coverage and Culprit Detection,data/publications.php,renamed
20WWW-ToN.pdf,20www-modeling.pdf,2020,"Jie Wang, Wenye Wang and Cliff Wang",Modeling and Analysis of Conflicting Information Propagation in a Finite Time Horizon.,data/publications.php,renamed
20ZW-UCIMAN.pdf,20zw-ciman.pdf,2020,Rui Zou and Wenye Wang,U-CIMAN: Uncover Spectrum and User Information in LTE Mobile Access Networks,data/publications.php,renamed
21RW-GC.pdf,21zwd-temporal.pdf,2021,"Rui Zou, Wenye Wang, and Huaiyu Dai",Temporal and Spectral Analysis of Spectrum Hole Distributions in an LTE Cell,manual-override,renamed
21RW-TMC.pdf,24zw-flume.pdf,2024,Rui Zou and Wenye Wang,FLuMe: Understanding Differential Spectrum Mobility Features in High Resolution,data/publications.php,renamed
21TW-COMNET.pdf,21fw-vulnerability.pdf,2021,Teng Fei and Wenye Wang,The Vulnerability and Enhancement of AKA Protocol for Mobile Authentication in LTE/5G Networks,data/publications.php,renamed
agw04vtc.pdf,04agw-experimental.pdf,2004,"Avesh Agarwal, Jorinjit S. Gill, and Wenye Wang",Experimental Study of Wireless Security Protocols over Mobile IP Network,data/publications.php,renamed
amh98.pdf,98amh-mobility.pdf,1998,"Ian F. Akyildiz, Janise McNair, Joseph Ho, Huseyin Uzunalioglu, and Wenye Wang",Mobility Management in Current and Future Communication Networks,data/publications.php,renamed
amh99.pdf,99amh-mobility.pdf,1999,"Ian F. Akyildiz, Janise McNair, Joseph Ho, Huseyin Uzunalioglu, and Wenye Wang",Mobility Management for Next Generation Wireless Systems,data/publications.php,renamed
